CustomerID,Aging,Gender,Location(CityTier),Churn,PreferedOrderCat,MembershipLevel,MaritalStatus,Complain,SatisfactionScore
50001,41,Female,3,1,Laptop & Accessory,Medium,Married,1,2
50002,35,Male,1,1,Mobile,Medium,Single,1,3
50003,41,Male,1,1,Mobile,Critical,Single,1,3
50004,40,Male,3,1,Laptop & Accessory,High,Single,0,5
50005,42,Male,1,1,Mobile,Critical,Single,0,5
50006,41,Female,1,1,Mobile Phone,Critical,Single,1,5
50007,34,Male,3,1,Laptop & Accessory,High,Divorced,0,2
50008,40,Male,1,1,Mobile,Critical,Divorced,1,2
50009,40,Male,3,1,Mobile,Critical,Divorced,1,3
50010,43,Male,1,1,Mobile,Critical,Single,0,3
50011,43,Female,1,1,Others,Critical,Divorced,0,3
50012,34,Male,1,1,Fashion,High,Single,1,3
50013,40,Male,1,1,Mobile,Critical,Single,1,3
50014,38,Male,1,1,Mobile,High,Divorced,1,3
50015,42,Male,3,1,Fashion,Medium,Single,0,2
50016,43,Male,2,1,Mobile,Critical,Married,1,5
50017,37,Female,1,1,Mobile,High,Single,1,2
50018,40,Male,3,1,Laptop & Accessory,High,Single,1,3
50019,40,Male,1,1,Laptop & Accessory,Critical,Single,1,3
50020,39,Female,1,1,Mobile Phone,Critical,Divorced,1,4
50021,37,Male,3,1,Laptop & Accessory,Critical,Divorced,1,3
50022,40,Female,1,1,Fashion,High,Divorced,0,2
50023,39,Male,3,1,Mobile Phone,High,Single,1,3
50024,35,Female,3,1,Laptop & Accessory,Critical,Divorced,1,3
50025,41,Male,1,1,Fashion,High,Single,0,2
50026,37,Female,1,1,Mobile Phone,Critical,Single,0,5
50027,41,Male,3,0,Fashion,Critical,Divorced,0,4
50028,33,Male,3,0,Laptop & Accessory,High,Divorced,1,3
50029,40,Male,1,0,Laptop & Accessory,Medium,Married,0,4
50030,37,Female,3,0,Fashion,High,Single,0,2
50031,42,Male,1,0,Laptop & Accessory,Critical,Divorced,0,3
50032,38,Male,1,0,Laptop & Accessory,Medium,Divorced,0,3
50033,43,Female,1,0,Mobile,High,Divorced,1,4
50034,38,Male,3,0,Fashion,Critical,Divorced,0,2
50035,34,Female,3,0,Mobile,High,Divorced,0,3
50036,37,Male,1,0,Mobile,High,Divorced,0,2
50037,39,,1,0,Mobile,Medium,Married,0,4
50038,36,Male,1,0,Mobile,Critical,Divorced,0,2
50039,35,Male,1,0,Fashion,High,Married,1,2
50040,39,Male,1,0,Mobile,Critical,Married,1,3
50041,37,Female,1,0,Others,Critical,Single,0,4
50042,41,Male,1,0,Mobile,Critical,Married,0,3
50043,34,Female,3,0,Fashion,High,Divorced,0,2
50044,38,Female,3,0,Laptop & Accessory,Critical,Single,0,2
50045,40,Male,1,0,Mobile,High,Single,0,3
50046,41,Male,1,0,Mobile,Critical,Divorced,1,4
50047,39,Female,3,1,Mobile,Critical,Single,0,5
50048,34,Male,1,0,Mobile,Critical,Single,0,4
50049,39,Male,1,0,Laptop & Accessory,Critical,Married,0,5
50050,38,Female,3,0,Laptop & Accessory,Medium,Married,1,5
50051,36,Female,1,0,Mobile Phone,Critical,Married,1,5
50052,39,Male,1,0,Mobile,High,Single,0,2
50053,37,Male,1,1,Mobile Phone,High,Single,0,2
50054,35,Female,3,0,Fashion,High,Married,0,5
50055,39,Female,1,0,Mobile,High,Single,0,2
50056,38,Female,1,0,Mobile Phone,Critical,Divorced,1,2
50057,41,Female,1,0,Mobile,High,Single,0,4
50058,38,Female,3,1,Mobile,Critical,Single,1,4
50059,39,Male,1,0,Mobile Phone,Medium,Divorced,0,3
50060,36,Female,1,0,Laptop & Accessory,High,Married,0,5
50061,42,Female,1,0,Mobile,High,Divorced,0,4
50062,42,Female,1,0,Others,High,Divorced,0,3
50063,41,Male,1,0,Others,Medium,Single,0,4
50064,35,Male,1,0,Laptop & Accessory,Critical,Divorced,0,3
50065,37,Female,1,0,Grocery,Medium,Single,0,4
50066,35,Male,1,0,Others,High,Divorced,0,3
50067,36,Female,1,0,Mobile,High,Single,0,4
50068,34,Male,1,1,Laptop & Accessory,High,Divorced,1,3
50069,35,Male,1,0,Mobile,High,Married,0,2
50070,37,Male,1,0,Grocery,Critical,Divorced,0,2
50071,35,Male,1,0,Mobile Phone,Medium,Divorced,1,5
50072,36,Female,1,0,Laptop & Accessory,Medium,Single,0,4
50073,39,Female,1,0,Laptop & Accessory,High,Married,0,3
50074,34,Male,1,0,Laptop & Accessory,Critical,Divorced,0,3
50075,37,Male,1,0,Laptop & Accessory,High,Divorced,0,2
50076,35,Male,1,0,Laptop & Accessory,High,Divorced,0,5
50077,42,Male,1,0,Laptop & Accessory,Critical,Married,1,2
50078,43,Male,1,0,Mobile Phone,Critical,Married,1,3
50079,37,Male,1,0,Laptop & Accessory,High,Divorced,1,2
50080,41,Male,1,1,Laptop & Accessory,Critical,Divorced,1,5
50081,41,Female,3,1,Fashion,High,Divorced,0,2
50082,41,Male,1,0,Mobile,High,Married,1,4
50083,43,Female,1,0,Mobile,High,Single,0,2
50084,34,Male,1,0,Laptop & Accessory,Critical,Divorced,0,2
50085,34,Male,1,0,Fashion,High,Married,0,5
50086,36,Male,3,1,Fashion,Critical,Divorced,0,2
50087,40,Male,1,0,Fashion,High,Single,0,3
50088,40,Female,3,0,Laptop & Accessory,Critical,Single,0,3
50089,34,Male,1,0,Fashion,High,Divorced,0,4
