CustomerID,OrderCount,LastPurchaseDate,Sales,DaySinceLastOrder
50001,1,2011/9/15,$140.00 ,5
50002,1,6/30/15,$211.00 ,0
50003,1,2012/5/15,$117.00 ,3
50004,1,2005/9/15,$118.00 ,3
50005,1,2007/9/15,$250.00 ,3
50006,6,2/25/15,$72.00 ,7
50007,1,2004/9/15,$54.00 ,0
50008,2,3/30/15,$114.00 ,0
50009,1,2002/9/15,$231.00 ,2
50010,1,4/21/15,$140.00 ,1
50011,15,11/16/15,$211.00 ,8
50012,1,2009/1/15,$117.00 ,0
50013,2,2007/9/15,$118.00 ,2
50014,1,7/22/15,$250.00 ,0
50015,4,2010/12/15,$72.00 ,7
50016,1,2/23/15,$54.00 ,2
50017,1,2005/4/15,$114.00 ,0
50018,1,2006/12/15,$231.00 ,3
50019,1,5/13/15,$140.00 ,6
50020,4,7/27/15,$211.00 ,3
50021,7,2012/9/15,$117.00 ,7
50022,15,2002/9/15,$118.00 ,6
50023,1,7/20/15,$250.00 ,0
50024,2,11/22/15,$72.00 ,2
50025,1,2/22/15,$54.00 ,3
50026,1,2004/6/15,$114.00 ,4
50027,1,7/27/15,$231.00 ,6
50028,4,9/29/15,$140.00 ,5
50029,1,2004/11/15,$211.00 ,15
50030,3,1/23/15,$117.00 ,7
50031,1,3/31/15,$118.00 ,9
50032,1,11/24/15,$250.00 ,0
50033,1,8/24/15,$72.00 ,0
50034,2,2005/4/15,$54.00 ,11
50035,1,7/15/15,$114.00 ,2
50036,2,2010/3/15,$231.00 ,2
50037,2,6/28/15,$140.00 ,2
50038,1,2008/1/15,$211.00 ,2
50039,1,2006/7/15,$117.00 ,4
50040,1,8/16/15,$118.00 ,1
50041,4,2007/9/15,$250.00 ,4
50042,1,2/25/15,$72.00 ,8
50043,7,10/26/15,$54.00 ,4
50044,1,12/22/15,$114.00 ,1
50045,1,4/24/15,$231.00 ,4
50046,1,9/20/15,$140.00 ,1
50047,1,2003/12/15,$211.00 ,0
50048,7,3/30/15,$117.00 ,2
50049,6,7/23/15,$118.00 ,10
50050,1,1/25/15,$250.00 ,3
50051,2,2006/5/15,$72.00 ,2
50052,1,11/27/15,$54.00 ,2
50053,1,6/19/15,$114.00 ,0
50054,15,10/14/15,$231.00 ,7
50055,2,2007/1/15,$140.00 ,1
50056,1,2008/11/15,$211.00 ,2
50057,1,2009/1/15,$117.00 ,2
50058,1,2/16/15,$118.00 ,2
50059,1,2001/6/15,$250.00 ,2
50060,1,2009/4/15,$72.00 ,3
50061,1,12/27/15,$54.00 ,6
50062,9,3/27/15,$114.00 ,9
50063,2,8/27/15,$231.00 ,15
50064,1,8/24/15,$140.00 ,9
50066,,8/20/15,$117.00 ,0
50067,11,2002/8/15,$118.00 ,9
50068,1,11/26/15,$250.00 ,3
50069,1,5/19/15,$72.00 ,1
50070,2,7/23/15,$54.00 ,2
50071,11,2003/6/15,$114.00 ,8
50072,1,9/20/15,$231.00 ,7
50073,1,2010/7/15,$140.00 ,2
50074,1,5/30/15,$211.00 ,2
50075,1,12/19/15,$117.00 ,0
50076,1,2012/3/15,$118.00 ,7
